credit_card,date,nick
6395751380986040,1985-11-18,Front-line
63044483056770500,1952-03-25,upward-trending
67622228220187391,1982-06-03,Operative
3529907710286131,1956-11-29,explicit
3575237340387155,1990-08-09,installation
5018471460024179,1999-01-27,asynchronous
6399350378198670,1974-02-18,clear-thinking
63046691103816302,1993-05-01,value-added
4905075110063906,1987-06-16,non-volatile
3567244502281168,1954-04-03,Assimilated
3539470000218486,1978-09-05,Sharable
201945082040893,1979-03-19,Self-enabling
3589064947218961,1993-03-18,secondary
675970010682574557,1964-10-24,national
3537418160714002,1975-05-05,Universal
3566165188416961,1983-11-26,knowledge base
30407172438518,1956-08-10,Focused
3589848918283719,1973-07-19,interactive
3579469441573153,1961-05-22,task-force
348145932737178,1984-03-07,artificial intelligence
372286361088037,1951-11-30,attitude-oriented
30064259436335,1984-06-08,tangible
3564572845369420,1969-11-05,product
3564462037109794,1980-07-21,Enhanced
3572757754477419,1992-06-02,4th generation
3574805635159751,1954-07-27,application
6759159395837033321,1987-12-31,toolset
3565545417634339,1972-07-19,structure
3541506635438654,1966-02-21,model
5602219389888113,1975-07-20,function
3539075659737130,1981-09-20,eco-centric
5329843353992387,1959-05-18,Synergistic
201686972245214,1973-03-26,Quality-focused
3570987495627764,1971-07-28,Proactive
5641825575742309644,1964-04-11,intangible
6333005034446374491,1961-10-06,migration
370454348587529,1964-10-10,Digitized
3539078617985973,1954-12-25,secondary
5242935931379006,1978-03-11,logistical
6767167225290061217,1958-08-17,Mandatory
5602236178515848,1993-03-24,moderator
201415430809084,1965-01-02,local area network
374288235494373,1996-01-29,zero tolerance
5010120562343114,1955-09-07,Face to face
4903246769898946376,1985-11-14,optimizing
3577914312854473,1968-10-06,open system
3581145056261609,1998-06-05,static
3576958155693184,1997-07-25,national
3573386104002955,1979-06-28,success
3537234064293740,1986-04-20,installation
3569048707830952,1993-06-11,even-keeled
677139096890590935,1962-01-24,Reverse-engineered
3586344686252030,1981-10-11,model
4844949694425687,1983-01-10,emulation
502024601216309510,1961-02-23,Synchronised
5100137906733603,1964-01-02,system engine
4905837541724079528,1982-11-09,24/7
3547124034302689,1991-11-15,Sharable
30277451896201,1955-12-28,value-added
5508005830681917,1952-11-13,Fundamental
3548614061369063,1960-09-26,circuit
3565530897101819,1983-09-04,complexity
201527205141673,1956-01-21,Multi-channelled
3551592892420608,1987-10-20,Configurable
372301795272204,1960-04-29,Reverse-engineered
3554425204021516,1969-11-25,eco-centric
4175001614897600,1975-03-25,productivity
4405533920488254,1953-05-25,needs-based
3564025470512251,1992-04-11,complexity
374283715803839,1958-07-31,systemic
67628778558591048,1996-10-22,context-sensitive
3561445099452320,1991-04-21,middleware
3538996947125294,1967-09-20,User-centric
5602224471433646,1993-04-14,Seamless
3554919850624029,1953-10-06,task-force
30371579223610,1956-09-06,Function-based
491114908023022427,1958-06-12,frame
377689865553296,1962-09-18,help-desk
5610531358639099,1991-06-26,Fundamental
3586008595585521,1954-10-14,Seamless
3564464155627524,1982-05-25,tertiary
344620216861591,1964-06-17,architecture
6762719925573923454,1951-04-17,next generation
3530907270725962,1988-12-06,task-force
374283008933657,1981-10-23,open architecture
3589340705642034,1995-08-18,bi-directional
3550795866266417,1954-02-21,mobile
56022577112467942,1975-10-04,adapter
4903212801193732,1961-01-11,info-mediaries
4205587498586,1972-04-11,Graphic Interface
4977801098860945,1992-08-13,initiative
3548528256186589,1979-09-12,success
5641826381159087644,1989-09-19,bottom-line
560221214508605907,1955-06-23,Innovative
589351010355048717,1950-11-12,Open-source
3533576546187872,1967-01-15,Quality-focused
5893213696527180344,1977-07-20,6th generation
5602219768672997,1997-04-06,eco-centric
374622640808308,1989-10-22,Total
6334244042084854772,1978-06-18,budgetary management
30054493177381,1969-04-28,Assimilated
30217556255069,1958-08-02,service-desk
5135319376204559,1984-07-31,holistic
5602213941178667347,1959-06-06,pricing structure
3587591849365625,1952-10-15,user-facing
375772715288974,1992-04-06,concept
3545805279494411,1999-03-20,software
3567020380333879,1990-03-06,infrastructure
6762852440758033910,1969-03-16,Profit-focused
6334144917778144,1975-08-10,human-resource
3587781374137495,1953-05-26,4th generation
564182399024928096,1960-10-05,approach
